Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C15, C17, C2, C21, C22, C29, C3, C4, C5, C8",0603,13,100n,
"C10, C9",0603,2,6.8p,
"C13, C14, C26, C27, C33",0603,5,2.2u,
"C16, C20, C25, C30, C34, C6, C7",0603,7,1u,
"C23, C24, C31, C32",1206,4,22u,
"D1, D11",SOT-23W,2,PESD2USB3UV,
"D10, D5, D6, D7, D9",D_SOD-123F,5,D_Schottky,
"D2, D4",0603,2,LED,
"D3, D8",D_SOD-323_HandSoldering,2,D_Zener,
"F1, F2",1812,2,Polyfuse,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,FTSH-105-XX-YYY-DV-K-A,1,FTSH-105-01-L-DV-K-A,
J3,Molex_Micro-Fit_3.0_43650-0410_1x04-1MP_P3.00mm_Horizontal,1,Conn_01x04_MountingPin,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J5,Molex_Micro-Fit_3.0_43650-0510_1x05-1MP_P3.00mm_Horizontal,1,Conn_01x05_MountingPin,
J6,MSD11A,1,MSD-11-A,
J7,62684401100AHLF,1,62684-401100AHLF,
L1,0603,1,L_Ferrite,
"L2, L3",L_Bourns-SRN4018,2,6.8u,
"R1, R10, R11, R12, R13, R14, R16, R2, R23, R25, R26, R27, R28, R3, R4, R7, R8, R9",0603,18,5.1k,
"R15, R18, R21, R22",0603,4,100k,
"R17, R5",0603,2,470,
R19,0603,1,17.4k,
R20,1206,1,100m,
R24,0603,1,10,
R6,0603,1,120,
"S1, S2",RKB2SJM250SMTRLFS,2,RKB2SJM250SMTR_LFS,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,
U4,SOT95P280X110-6N,1,LMR51625YDDCR,
U5,SOT95P280X145-5N,1,TLV74033PDBVR,
U6,SOT-23-6,1,AP3032KTR,
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
