Designator,Mid X,Mid Y,Rotation,Layer
C1,107.153601,-54.4666,90.0,bottom
C10,112.437501,-65.500001,180.0,bottom
C11,64.462197,-90.813323,0.0,bottom
C12,59.464697,-90.797423,180.0,bottom
C13,93.9,-74.35,270.0,bottom
C14,89.2,-58.2,0.0,bottom
C15,89.25,-88.262501,270.0,bottom
C16,87.549999,-88.2625,270.0,bottom
C17,95.712499,-84.6425,0.0,bottom
C2,90.553601,-56.266601,0.0,bottom
C20,123.9,-68.562501,270.0,bottom
C21,105.540589,-84.946054,270.0,bottom
C22,119.526161,-88.30467,90.0,bottom
C23,127.801163,-87.89217,180.0,bottom
C24,127.801162,-90.492171,180.0,bottom
C25,123.940589,-85.458555,0.0,bottom
C26,112.563664,-85.38217,0.0,bottom
C27,112.563663,-87.092171,0.0,bottom
C29,122.538661,-83.192171,180.0,bottom
C3,92.3536,-72.866601,270.0,bottom
C30,121.340589,-78.758555,0.0,bottom
C31,124.640589,-75.958555,270.0,bottom
C32,58.14882,-83.486667,0.0,bottom
C33,58.948821,-73.786667,270.0,bottom
C34,121.4,-68.5625,270.0,bottom
C4,106.7536,-73.266601,180.0,bottom
C5,109.553601,-60.0666,90.0,bottom
C6,114.2536,-69.3666,0.0,bottom
C7,111.7536,-68.4666,270.0,bottom
C8,110.153599,-68.4666,270.0,bottom
C9,112.4375,-59.5,0.0,bottom
D1,73.5,-90.8,90.0,bottom
D10,56.648821,-74.386666,270.0,bottom
D11,110.340589,-77.958555,90.0,bottom
D2,73.624205,-87.955658,180.0,top
D3,105.540589,-81.246054,90.0,bottom
D4,62.124205,-87.955658,180.0,top
D5,109.401162,-84.492171,270.0,bottom
D6,128.101162,-85.492171,0.0,bottom
D7,133.123839,-78.407828,180.0,bottom
D8,118.867061,-83.185272,0.0,bottom
D9,131.647529,-86.884072,270.0,bottom
F1,107.2,-89.0,180.0,bottom
F2,129.625001,-81.6,0.0,bottom
J1,73.514104,-95.506193,0.0,top
J2,87.530683,-94.009051,0.0,top
J3,125.0,-94.52,180.0,top
J4,126.0,-53.000001,270.0,top
J5,106.0,-94.52,180.0,top
J6,131.007361,-68.949891,90.0,top
J7,71.0,-67.500001,180.0,bottom
L1,114.253601,-67.5666,0.0,bottom
L2,122.701163,-89.179671,270.0,bottom
L3,56.748821,-79.486666,90.0,bottom
R1,64.464696,-89.197422,0.0,bottom
R10,133.712501,-69.7,180.0,bottom
R11,133.712501,-68.1,180.0,bottom
R12,133.7125,-66.499999,180.0,bottom
R13,133.7125,-64.899999,180.0,bottom
R14,133.7125,-63.3,180.0,bottom
R15,107.240589,-84.946055,90.0,bottom
R16,107.240589,-81.546055,90.0,bottom
R17,60.7,-86.3,180.0,bottom
R18,117.801162,-90.829671,0.0,bottom
R19,114.3,-89.9,180.0,bottom
R2,59.464696,-89.097423,0.0,bottom
R20,113.401162,-83.292171,180.0,bottom
R21,122.533661,-81.482171,0.0,bottom
R22,119.13866,-81.492171,0.0,bottom
R23,63.14882,-82.686666,0.0,bottom
R24,61.048821,-76.486666,0.0,bottom
R25,75.879861,-74.279255,270.0,bottom
R26,82.05,-73.55,270.0,bottom
R27,80.5,-73.55,270.0,bottom
R28,119.8,-65.0,270.0,bottom
R3,69.51288,-89.187382,180.0,bottom
R4,77.4125,-89.200001,0.0,bottom
R5,111.0,-55.65,180.0,bottom
R6,94.0875,-92.0425,0.0,bottom
R7,133.712501,-74.499999,180.0,bottom
R8,133.7125,-72.9,180.0,bottom
R9,133.712499,-71.299999,180.0,bottom
S1,64.507525,-95.032164,270.0,top
S2,59.502281,-95.031776,270.0,top
U1,99.753601,-63.6666,270.0,bottom
U2,94.1,-88.3375,90.0,bottom
U4,116.549999,-87.3,180.0,bottom
U5,122.65,-65.05,180.0,bottom
U6,61.07382,-79.556667,90.0,bottom
U7,119.023089,-74.363555,180.0,bottom
Y1,112.4375,-62.500001,270.0,bottom
